state,pollster,date,answer,pct
Michigan,AtlasIntel,3/9/20,Sanders,45.5
Michigan,AtlasIntel,3/9/20,Trump,43.4
Michigan,Monmouth University,3/8/20,Sanders,46
Michigan,Monmouth University,3/8/20,Trump,41
Michigan,Optimus,3/7/20,Sanders,41.17
Michigan,Optimus,3/7/20,Trump,47.64
Michigan,YouGov,2/20/20,Sanders,48
Michigan,YouGov,2/20/20,Trump,41
Michigan,Quinnipiac University,2/18/20,Sanders,48
Michigan,Quinnipiac University,2/18/20,Trump,43
Michigan,EPIC-MRA,1/12/20,Sanders,50
Michigan,EPIC-MRA,1/12/20,Trump,45
Michigan,Glengariff Group Inc.,1/7/20,Sanders,49
Michigan,Glengariff Group Inc.,1/7/20,Trump,44.8
Michigan,Optimus,12/5/19,Sanders,41.84
Michigan,Optimus,12/5/19,Trump,47.56
Michigan,Emerson College,11/3/19,Sanders,56.9
Michigan,Emerson College,11/3/19,Trump,43.1
Michigan,Siena College/New York Times Upshot,10/25/19,Sanders,45.62
Michigan,Siena College/New York Times Upshot,10/25/19,Trump,42.39
Michigan,Optimus,9/9/19,Sanders,40
Michigan,Optimus,9/9/19,Trump,43
Michigan,EPIC-MRA,8/21/19,Sanders,48
Michigan,EPIC-MRA,8/21/19,Trump,44
Michigan,Climate Nexus,7/17/19,Sanders,48
Michigan,Climate Nexus,7/17/19,Trump,37
Michigan,Optimus,6/13/19,Sanders,44
Michigan,Optimus,6/13/19,Trump,44
Michigan,Glengariff Group Inc.,5/30/19,Sanders,53.2
Michigan,Glengariff Group Inc.,5/30/19,Trump,41.3
Michigan,Tulchin Research,4/18/19,Sanders,52
Michigan,Tulchin Research,4/18/19,Trump,41
Michigan,Optimus,3/21/19,Sanders,45
Michigan,Optimus,3/21/19,Trump,46
Michigan,Emerson College,3/10/19,Sanders,52.5
Michigan,Emerson College,3/10/19,Trump,47.5
Michigan,Glengariff Group Inc.,1/26/19,Sanders,52
Michigan,Glengariff Group Inc.,1/26/19,Trump,41.2
