state,pollster,date,answer,pct
Wisconsin,YouGov,3/8/20,Biden,44
Wisconsin,YouGov,3/8/20,Trump,42
Wisconsin,Optimus,3/7/20,Biden,43.07
Wisconsin,Optimus,3/7/20,Trump,44.56
Wisconsin,Marquette University Law School,2/23/20,Biden,46
Wisconsin,Marquette University Law School,2/23/20,Trump,46
Wisconsin,YouGov,2/20/20,Biden,45
Wisconsin,YouGov,2/20/20,Trump,43
Wisconsin,Expedition Strategies,2/18/20,Biden,42
Wisconsin,Expedition Strategies,2/18/20,Trump,44
Wisconsin,Tarrance Group,1/16/20,Biden,47
Wisconsin,Tarrance Group,1/16/20,Trump,46
Wisconsin,Marquette University Law School,1/12/20,Biden,49
Wisconsin,Marquette University Law School,1/12/20,Trump,45
Wisconsin,Fox News/Beacon Research/Shaw & Co. Research,1/8/20,Biden,46
Wisconsin,Fox News/Beacon Research/Shaw & Co. Research,1/8/20,Trump,41
Wisconsin,Marquette University Law School,12/8/19,Biden,47
Wisconsin,Marquette University Law School,12/8/19,Trump,46
Wisconsin,Optimus,12/5/19,Biden,39.08
Wisconsin,Optimus,12/5/19,Trump,48.24
Wisconsin,Marquette University Law School,11/17/19,Biden,44
Wisconsin,Marquette University Law School,11/17/19,Trump,47
Wisconsin,Siena College/New York Times Upshot,10/26/19,Biden,46.75
Wisconsin,Siena College/New York Times Upshot,10/26/19,Trump,43.26
Wisconsin,Marquette University Law School,10/17/19,Biden,50
Wisconsin,Marquette University Law School,10/17/19,Trump,44
Wisconsin,Fox News/Beacon Research/Shaw & Co. Research,10/2/19,Biden,48
Wisconsin,Fox News/Beacon Research/Shaw & Co. Research,10/2/19,Trump,39
Wisconsin,Optimus,9/9/19,Biden,44
Wisconsin,Optimus,9/9/19,Trump,42
Wisconsin,Marquette University Law School,8/29/19,Biden,51
Wisconsin,Marquette University Law School,8/29/19,Trump,42
Wisconsin,Optimus,6/13/19,Biden,46
Wisconsin,Optimus,6/13/19,Trump,40
Wisconsin,Zogby Interactive/JZ Analytics,4/18/19,Biden,50
Wisconsin,Zogby Interactive/JZ Analytics,4/18/19,Trump,40
Wisconsin,Optimus,3/21/19,Biden,53
Wisconsin,Optimus,3/21/19,Trump,40
Wisconsin,Emerson College,3/17/19,Biden,54.3
Wisconsin,Emerson College,3/17/19,Trump,45.7
